,name,hashes,best_hashes,lineage
10,Bacteria;Proteobacteria;Deltaproteobacteria,1209000,1099000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Deltaproteobacteria'))"
11,Bacteria;Acidobacteria;Acidobacteriia,1190000,1190000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Acidobacteria'), LineagePair(rank='class', name='Acidobacteriia'))"
12,Bacteria;Chlorobi;Chlorobia,1162000,624000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chlorobi'), LineagePair(rank='class', name='Chlorobia'))"
13,Archaea;Euryarchaeota;Halobacteria,1065000,1065000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Halobacteria'))"
14,Bacteria;Deinococcus-Thermus;Deinococci,972000,857000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Deinococcus-Thermus'), LineagePair(rank='class', name='Deinococci'))"
15,Bacteria;Spirochaetes;Spirochaetia,908000,908000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Spirochaetes'), LineagePair(rank='class', name='Spirochaetia'))"
16,Archaea;Euryarchaeota;Methanococci,847000,493000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanococci'))"
17,Bacteria;Proteobacteria;Betaproteobacteria,834000,376000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'))"
18,Bacteria;Verrucomicrobia;Verrucomicrobiae,828000,828000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Verrucomicrobia'), LineagePair(rank='class', name='Verrucomicrobiae'))"
19,Bacteria;Firmicutes;Bacilli,647000,647000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Bacilli'))"
20,Bacteria;Proteobacteria;Epsilonproteobacteria,646000,646000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Epsilonproteobacteria'))"
21,Archaea;Euryarchaeota;Thermococci,604000,604000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Thermococci'))"
22,Bacteria;Dictyoglomi;Dictyoglomia,558000,558000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Dictyoglomi'), LineagePair(rank='class', name='Dictyoglomia'))"
23,Bacteria;Thermotogae;Thermotogae,504000,504000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Thermotogae'), LineagePair(rank='class', name='Thermotogae'))"
24,Archaea;Euryarchaeota;,430000,430000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name=''))"
25,Bacteria;Fusobacteria;Fusobacteriia,278000,278000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Fusobacteria'), LineagePair(rank='class', name='Fusobacteriia'))"
26,Archaea;Euryarchaeota;Methanopyri,235000,235000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanopyri'))"
27,Archaea;Euryarchaeota;Methanomicrobia,200000,200000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanomicrobia'))"
28,Bacteria;Proteobacteria;Gammaproteobacteria,158000,158000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Gammaproteobacteria'))"
29,Archaea;Nanoarchaeota;,125000,125000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Nanoarchaeota'), LineagePair(rank='class', name=''))"
30,Archaea;Euryarchaeota;Archaeoglobi,82000,82000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Archaeoglobi'))"
