,name,hashes,best_hashes,lineage
0,Bacteria;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae,12742000,2963000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chlorobi'), LineagePair(rank='class', name='Chlorobia'), LineagePair(rank='order', name='Chlorobiales'), LineagePair(rank='family', name='Chlorobiaceae'))"
12,Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacterales Family III. Incertae Sedis,5380000,2779000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'), LineagePair(rank='order', name='Thermoanaerobacterales'), LineagePair(rank='family', name='Thermoanaerobacterales Family III. Incertae Sedis'))"
13,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae,5167000,5167000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Burkholderiales'), LineagePair(rank='family', name='Alcaligenaceae'))"
14,Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae,5053000,5053000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chloroflexi'), LineagePair(rank='class', name='Chloroflexia'), LineagePair(rank='order', name='Chloroflexales'), LineagePair(rank='family', name='Chloroflexaceae'))"
15,Bacteria;Aquificae;Aquificae;Aquificales;Hydrogenothermaceae,4892000,1997000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Aquificae'), LineagePair(rank='class', name='Aquificae'), LineagePair(rank='order', name='Aquificales'), LineagePair(rank='family', name='Hydrogenothermaceae'))"
16,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;,4754000,4754000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Burkholderiales'), LineagePair(rank='family', name=''))"
17,Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae,4629000,4629000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Gemmatimonadetes'), LineagePair(rank='class', name='Gemmatimonadetes'), LineagePair(rank='order', name='Gemmatimonadales'), LineagePair(rank='family', name='Gemmatimonadaceae'))"
18,Bacteria;Thermotogae;Thermotogae;Thermotogales;Thermotogaceae,4257000,1851000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Thermotogae'), LineagePair(rank='class', name='Thermotogae'), LineagePair(rank='order', name='Thermotogales'), LineagePair(rank='family', name='Thermotogaceae'))"
19,Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae,4167000,4167000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Acidobacteria'), LineagePair(rank='class', name='Acidobacteriia'), LineagePair(rank='order', name='Acidobacteriales'), LineagePair(rank='family', name='Acidobacteriaceae'))"
20,Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae,3934000,3934000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Halobacteria'), LineagePair(rank='order', name='Haloferacales'), LineagePair(rank='family', name='Haloferacaceae'))"
21,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae,3775000,3775000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Deltaproteobacteria'), LineagePair(rank='order', name='Desulfuromonadales'), LineagePair(rank='family', name='Geobacteraceae'))"
22,Bacteria;Firmicutes;Clostridia;Clostridiales;Hungateiclostridiaceae,3655000,3655000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'), LineagePair(rank='order', name='Clostridiales'), LineagePair(rank='family', name='Hungateiclostridiaceae'))"
23,Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae,3578000,1837000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Thermococci'), LineagePair(rank='order', name='Thermococcales'), LineagePair(rank='family', name='Thermococcaceae'))"
24,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanococcaceae,3288000,1775000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanococci'), LineagePair(rank='order', name='Methanococcales'), LineagePair(rank='family', name='Methanococcaceae'))"
25,Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae,3206000,3206000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Deinococcus-Thermus'), LineagePair(rank='class', name='Deinococci'), LineagePair(rank='order', name='Deinococcales'), LineagePair(rank='family', name='Deinococcaceae'))"
26,Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae,2848000,2848000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Spirochaetes'), LineagePair(rank='class', name='Spirochaetia'), LineagePair(rank='order', name='Spirochaetales'), LineagePair(rank='family', name='Spirochaetaceae'))"
27,Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae,2726000,2726000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Nitrosomonadales'), LineagePair(rank='family', name='Nitrosomonadaceae'))"
28,Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae,2701000,2701000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Verrucomicrobia'), LineagePair(rank='class', name='Verrucomicrobiae'), LineagePair(rank='order', name='Verrucomicrobiales'), LineagePair(rank='family', name='Akkermansiaceae'))"
29,Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae,2688000,2688000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Bacilli'), LineagePair(rank='order', name='Lactobacillales'), LineagePair(rank='family', name='Enterococcaceae'))"
30,Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae,2679000,2679000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Crenarchaeota'), LineagePair(rank='class', name='Thermoprotei'), LineagePair(rank='order', name='Sulfolobales'), LineagePair(rank='family', name='Sulfolobaceae'))"
31,Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae,2653000,2516000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'), LineagePair(rank='order', name='Clostridiales'), LineagePair(rank='family', name='Clostridiaceae'))"
32,Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae,2463000,2463000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Fusobacteria'), LineagePair(rank='class', name='Fusobacteriia'), LineagePair(rank='order', name='Fusobacteriales'), LineagePair(rank='family', name='Fusobacteriaceae'))"
33,Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae,2209000,2209000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'), LineagePair(rank='order', name='Thermoanaerobacterales'), LineagePair(rank='family', name='Thermoanaerobacteraceae'))"
34,Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae,2139000,2139000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Archaeoglobi'), LineagePair(rank='order', name='Archaeoglobales'), LineagePair(rank='family', name='Archaeoglobaceae'))"
35,Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae,2130000,2130000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Alphaproteobacteria'), LineagePair(rank='order', name='Sphingomonadales'), LineagePair(rank='family', name='Sphingomonadaceae'))"
36,Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae,2128000,2128000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Deinococcus-Thermus'), LineagePair(rank='class', name='Deinococci'), LineagePair(rank='order', name='Thermales'), LineagePair(rank='family', name='Thermaceae'))"
37,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae,2109000,2109000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Bacteroidetes'), LineagePair(rank='class', name='Bacteroidia'), LineagePair(rank='order', name='Bacteroidales'), LineagePair(rank='family', name='Porphyromonadaceae'))"
38,Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae,2030000,2030000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Epsilonproteobacteria'), LineagePair(rank='order', name='Campylobacterales'), LineagePair(rank='family', name='Helicobacteraceae'))"
39,Bacteria;Dictyoglomi;Dictyoglomia;Dictyoglomales;Dictyoglomaceae,1839000,1839000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Dictyoglomi'), LineagePair(rank='class', name='Dictyoglomia'), LineagePair(rank='order', name='Dictyoglomales'), LineagePair(rank='family', name='Dictyoglomaceae'))"
40,Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae,1679000,1679000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanococci'), LineagePair(rank='order', name='Methanococcales'), LineagePair(rank='family', name='Methanocaldococcaceae'))"
41,Archaea;Euryarchaeota;Methanopyri;Methanopyrales;Methanopyraceae,1631000,1631000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanopyri'), LineagePair(rank='order', name='Methanopyrales'), LineagePair(rank='family', name='Methanopyraceae'))"
42,Bacteria;Aquificae;Aquificae;Aquificales;Aquificaceae,1595000,1595000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Aquificae'), LineagePair(rank='class', name='Aquificae'), LineagePair(rank='order', name='Aquificales'), LineagePair(rank='family', name='Aquificaceae'))"
43,Archaea;Euryarchaeota;;;,1477000,1477000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name=''), LineagePair(rank='order', name=''), LineagePair(rank='family', name=''))"
44,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae,1284000,1284000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Crenarchaeota'), LineagePair(rank='class', name='Thermoprotei'), LineagePair(rank='order', name='Desulfurococcales'), LineagePair(rank='family', name='Desulfurococcaceae'))"
45,Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae,773000,474000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Bacilli'), LineagePair(rank='order', name='Lactobacillales'), LineagePair(rank='family', name='Streptococcaceae'))"
46,Archaea;Nanoarchaeota;;Nanoarchaeales;Nanoarchaeaceae,431000,431000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Nanoarchaeota'), LineagePair(rank='class', name=''), LineagePair(rank='order', name='Nanoarchaeales'), LineagePair(rank='family', name='Nanoarchaeaceae'))"
47,Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae,211000,211000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Gammaproteobacteria'), LineagePair(rank='order', name='Xanthomonadales'), LineagePair(rank='family', name='Xanthomonadaceae'))"
48,Bacteria;Cyanobacteria;;Chroococcales;,195000,195000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Cyanobacteria'), LineagePair(rank='class', name=''), LineagePair(rank='order', name='Chroococcales'), LineagePair(rank='family', name=''))"
49,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae,119000,119000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Gammaproteobacteria'), LineagePair(rank='order', name='Enterobacterales'), LineagePair(rank='family', name='Enterobacteriaceae'))"
