,name,hashes,best_hashes,lineage
10,Bacteroides vulgatus (Bacteria),4946000,4946000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Bacteroidetes'), LineagePair(rank='class', name='Bacteroidia'), LineagePair(rank='order', name='Bacteroidales'), LineagePair(rank='family', name='Bacteroidaceae'), LineagePair(rank='genus', name='Bacteroides'), LineagePair(rank='species', name='Bacteroides vulgatus'))"
11,Salinispora tropica (Bacteria),4807000,4807000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Actinobacteria'), LineagePair(rank='class', name='Actinobacteria'), LineagePair(rank='order', name='Micromonosporales'), LineagePair(rank='family', name='Micromonosporaceae'), LineagePair(rank='genus', name='Salinispora'), LineagePair(rank='species', name='Salinispora tropica'))"
12,Leptothrix cholodnii (Bacteria),4754000,4754000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Burkholderiales'), LineagePair(rank='family', name=''), LineagePair(rank='genus', name='Leptothrix'), LineagePair(rank='species', name='Leptothrix cholodnii'))"
13,Gemmatimonas aurantiaca (Bacteria),4629000,4629000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Gemmatimonadetes'), LineagePair(rank='class', name='Gemmatimonadetes'), LineagePair(rank='order', name='Gemmatimonadales'), LineagePair(rank='family', name='Gemmatimonadaceae'), LineagePair(rank='genus', name='Gemmatimonas'), LineagePair(rank='species', name='Gemmatimonas aurantiaca'))"
14,Ruegeria pomeroyi (Bacteria),4534000,4534000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Alphaproteobacteria'), LineagePair(rank='order', name='Rhodobacterales'), LineagePair(rank='family', name='Rhodobacteraceae'), LineagePair(rank='genus', name='Ruegeria'), LineagePair(rank='species', name='Ruegeria pomeroyi'))"
15,Acidobacterium capsulatum (Bacteria),4167000,4167000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Acidobacteria'), LineagePair(rank='class', name='Acidobacteriia'), LineagePair(rank='order', name='Acidobacteriales'), LineagePair(rank='family', name='Acidobacteriaceae'), LineagePair(rank='genus', name='Acidobacterium'), LineagePair(rank='species', name='Acidobacterium capsulatum'))"
16,Haloferax volcanii (Archaea),3934000,3934000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Halobacteria'), LineagePair(rank='order', name='Haloferacales'), LineagePair(rank='family', name='Haloferacaceae'), LineagePair(rank='genus', name='Haloferax'), LineagePair(rank='species', name='Haloferax volcanii'))"
17,Sulfitobacter sp. NAS-14.1 (Bacteria),3854000,3854000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Alphaproteobacteria'), LineagePair(rank='order', name='Rhodobacterales'), LineagePair(rank='family', name='Rhodobacteraceae'), LineagePair(rank='genus', name='Sulfitobacter'), LineagePair(rank='species', name='Sulfitobacter sp. NAS-14.1'))"
18,Geobacter sulfurreducens (Bacteria),3775000,3775000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Deltaproteobacteria'), LineagePair(rank='order', name='Desulfuromonadales'), LineagePair(rank='family', name='Geobacteraceae'), LineagePair(rank='genus', name='Geobacter'), LineagePair(rank='species', name='Geobacter sulfurreducens'))"
19,Hungateiclostridium thermocellum (Bacteria),3655000,3655000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'), LineagePair(rank='order', name='Clostridiales'), LineagePair(rank='family', name='Hungateiclostridiaceae'), LineagePair(rank='genus', name='Hungateiclostridium'), LineagePair(rank='species', name='Hungateiclostridium thermocellum'))"
20,Methanococcus maripaludis (Archaea),3288000,1775000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanococci'), LineagePair(rank='order', name='Methanococcales'), LineagePair(rank='family', name='Methanococcaceae'), LineagePair(rank='genus', name='Methanococcus'), LineagePair(rank='species', name='Methanococcus maripaludis'))"
21,Desulfovibrio sp. (Bacteria),3247000,3247000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Deltaproteobacteria'), LineagePair(rank='order', name='Desulfovibrionales'), LineagePair(rank='family', name='Desulfovibrionaceae'), LineagePair(rank='genus', name='Desulfovibrio'), LineagePair(rank='species', name='Desulfovibrio sp.'))"
22,Deinococcus radiodurans (Bacteria),3206000,3206000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Deinococcus-Thermus'), LineagePair(rank='class', name='Deinococci'), LineagePair(rank='order', name='Deinococcales'), LineagePair(rank='family', name='Deinococcaceae'), LineagePair(rank='genus', name='Deinococcus'), LineagePair(rank='species', name='Deinococcus radiodurans'))"
23,Pelodictyon phaeoclathratiforme (Bacteria),2963000,2963000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chlorobi'), LineagePair(rank='class', name='Chlorobia'), LineagePair(rank='order', name='Chlorobiales'), LineagePair(rank='family', name='Chlorobiaceae'), LineagePair(rank='genus', name='Pelodictyon'), LineagePair(rank='species', name='Pelodictyon phaeoclathratiforme'))"
24,Chlorobium phaeobacteroides (Bacteria),2875000,2875000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chlorobi'), LineagePair(rank='class', name='Chlorobia'), LineagePair(rank='order', name='Chlorobiales'), LineagePair(rank='family', name='Chlorobiaceae'), LineagePair(rank='genus', name='Chlorobium'), LineagePair(rank='species', name='Chlorobium phaeobacteroides'))"
25,Desulfovibrio piger (Bacteria),2862000,2862000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Deltaproteobacteria'), LineagePair(rank='order', name='Desulfovibrionales'), LineagePair(rank='family', name='Desulfovibrionaceae'), LineagePair(rank='genus', name='Desulfovibrio'), LineagePair(rank='species', name='Desulfovibrio piger'))"
26,Treponema denticola (Bacteria),2848000,2848000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Spirochaetes'), LineagePair(rank='class', name='Spirochaetia'), LineagePair(rank='order', name='Spirochaetales'), LineagePair(rank='family', name='Spirochaetaceae'), LineagePair(rank='genus', name='Treponema'), LineagePair(rank='species', name='Treponema denticola'))"
27,Caldicellulosiruptor bescii (Bacteria),2779000,2779000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'), LineagePair(rank='order', name='Thermoanaerobacterales'), LineagePair(rank='family', name='Thermoanaerobacterales Family III. Incertae Sedis'), LineagePair(rank='genus', name='Caldicellulosiruptor'), LineagePair(rank='species', name='Caldicellulosiruptor bescii'))"
28,Nitrosomonas europaea (Bacteria),2726000,2726000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Betaproteobacteria'), LineagePair(rank='order', name='Nitrosomonadales'), LineagePair(rank='family', name='Nitrosomonadaceae'), LineagePair(rank='genus', name='Nitrosomonas'), LineagePair(rank='species', name='Nitrosomonas europaea'))"
29,Akkermansia muciniphila (Bacteria),2701000,2701000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Verrucomicrobia'), LineagePair(rank='class', name='Verrucomicrobiae'), LineagePair(rank='order', name='Verrucomicrobiales'), LineagePair(rank='family', name='Akkermansiaceae'), LineagePair(rank='genus', name='Akkermansia'), LineagePair(rank='species', name='Akkermansia muciniphila'))"
30,Enterococcus faecalis (Bacteria),2688000,2688000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Bacilli'), LineagePair(rank='order', name='Lactobacillales'), LineagePair(rank='family', name='Enterococcaceae'), LineagePair(rank='genus', name='Enterococcus'), LineagePair(rank='species', name='Enterococcus faecalis'))"
31,Sulfurisphaera tokodaii (Archaea),2679000,2679000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Crenarchaeota'), LineagePair(rank='class', name='Thermoprotei'), LineagePair(rank='order', name='Sulfolobales'), LineagePair(rank='family', name='Sulfolobaceae'), LineagePair(rank='genus', name='Sulfurisphaera'), LineagePair(rank='species', name='Sulfurisphaera tokodaii'))"
32,Chlorobium limicola (Bacteria),2672000,2672000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chlorobi'), LineagePair(rank='class', name='Chlorobia'), LineagePair(rank='order', name='Chlorobiales'), LineagePair(rank='family', name='Chlorobiaceae'), LineagePair(rank='genus', name='Chlorobium'), LineagePair(rank='species', name='Chlorobium limicola'))"
33,Caldicellulosiruptor saccharolyticus (Bacteria),2601000,2601000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'), LineagePair(rank='order', name='Thermoanaerobacterales'), LineagePair(rank='family', name='Thermoanaerobacterales Family III. Incertae Sedis'), LineagePair(rank='genus', name='Caldicellulosiruptor'), LineagePair(rank='species', name='Caldicellulosiruptor saccharolyticus'))"
34,Proteiniclasticum sp. (Bacteria),2516000,2516000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'), LineagePair(rank='order', name='Clostridiales'), LineagePair(rank='family', name='Clostridiaceae'), LineagePair(rank='genus', name='Proteiniclasticum'), LineagePair(rank='species', name='Proteiniclasticum sp.'))"
35,Fusobacterium nucleatum (Bacteria),2463000,2463000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Fusobacteria'), LineagePair(rank='class', name='Fusobacteriia'), LineagePair(rank='order', name='Fusobacteriales'), LineagePair(rank='family', name='Fusobacteriaceae'), LineagePair(rank='genus', name='Fusobacterium'), LineagePair(rank='species', name='Fusobacterium nucleatum'))"
36,Pyrobaculum aerophilum (Archaea),2246000,2246000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Crenarchaeota'), LineagePair(rank='class', name='Thermoprotei'), LineagePair(rank='order', name='Thermoproteales'), LineagePair(rank='family', name='Thermoproteaceae'), LineagePair(rank='genus', name='Pyrobaculum'), LineagePair(rank='species', name='Pyrobaculum aerophilum'))"
37,Thermoanaerobacter pseudethanolicus (Bacteria),2209000,2209000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'), LineagePair(rank='order', name='Thermoanaerobacterales'), LineagePair(rank='family', name='Thermoanaerobacteraceae'), LineagePair(rank='genus', name='Thermoanaerobacter'), LineagePair(rank='species', name='Thermoanaerobacter pseudethanolicus'))"
38,Chlorobaculum tepidum (Bacteria),2165000,2165000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chlorobi'), LineagePair(rank='class', name='Chlorobia'), LineagePair(rank='order', name='Chlorobiales'), LineagePair(rank='family', name='Chlorobiaceae'), LineagePair(rank='genus', name='Chlorobaculum'), LineagePair(rank='species', name='Chlorobaculum tepidum'))"
39,Pyrobaculum arsenaticum (Archaea),2157000,2157000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Crenarchaeota'), LineagePair(rank='class', name='Thermoprotei'), LineagePair(rank='order', name='Thermoproteales'), LineagePair(rank='family', name='Thermoproteaceae'), LineagePair(rank='genus', name='Pyrobaculum'), LineagePair(rank='species', name='Pyrobaculum arsenaticum'))"
40,Archaeoglobus fulgidus (Archaea),2139000,2139000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Archaeoglobi'), LineagePair(rank='order', name='Archaeoglobales'), LineagePair(rank='family', name='Archaeoglobaceae'), LineagePair(rank='genus', name='Archaeoglobus'), LineagePair(rank='species', name='Archaeoglobus fulgidus'))"
41,Zymomonas mobilis (Bacteria),2130000,2130000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Alphaproteobacteria'), LineagePair(rank='order', name='Sphingomonadales'), LineagePair(rank='family', name='Sphingomonadaceae'), LineagePair(rank='genus', name='Zymomonas'), LineagePair(rank='species', name='Zymomonas mobilis'))"
42,Thermus sp. (Bacteria),2128000,2128000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Deinococcus-Thermus'), LineagePair(rank='class', name='Deinococci'), LineagePair(rank='order', name='Thermales'), LineagePair(rank='family', name='Thermaceae'), LineagePair(rank='genus', name='Thermus'), LineagePair(rank='species', name='Thermus sp.'))"
43,Porphyromonas gingivalis (Bacteria),2109000,2109000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Bacteroidetes'), LineagePair(rank='class', name='Bacteroidia'), LineagePair(rank='order', name='Bacteroidales'), LineagePair(rank='family', name='Porphyromonadaceae'), LineagePair(rank='genus', name='Porphyromonas'), LineagePair(rank='species', name='Porphyromonas gingivalis'))"
44,Chlorobium phaeovibrioides (Bacteria),2067000,2067000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Chlorobi'), LineagePair(rank='class', name='Chlorobia'), LineagePair(rank='order', name='Chlorobiales'), LineagePair(rank='family', name='Chlorobiaceae'), LineagePair(rank='genus', name='Chlorobium'), LineagePair(rank='species', name='Chlorobium phaeovibrioides'))"
45,Wolinella succinogenes (Bacteria),2030000,2030000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Epsilonproteobacteria'), LineagePair(rank='order', name='Campylobacterales'), LineagePair(rank='family', name='Helicobacteraceae'), LineagePair(rank='genus', name='Wolinella'), LineagePair(rank='species', name='Wolinella succinogenes'))"
46,Persephonella marina (Bacteria),1997000,1997000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Aquificae'), LineagePair(rank='class', name='Aquificae'), LineagePair(rank='order', name='Aquificales'), LineagePair(rank='family', name='Hydrogenothermaceae'), LineagePair(rank='genus', name='Persephonella'), LineagePair(rank='species', name='Persephonella marina'))"
47,Pyrobaculum calidifontis (Archaea),1980000,1980000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Crenarchaeota'), LineagePair(rank='class', name='Thermoprotei'), LineagePair(rank='order', name='Thermoproteales'), LineagePair(rank='family', name='Thermoproteaceae'), LineagePair(rank='genus', name='Pyrobaculum'), LineagePair(rank='species', name='Pyrobaculum calidifontis'))"
48,Sulfitobacter sp. EE-36 (Bacteria),1952000,1952000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Alphaproteobacteria'), LineagePair(rank='order', name='Rhodobacterales'), LineagePair(rank='family', name='Rhodobacteraceae'), LineagePair(rank='genus', name='Sulfitobacter'), LineagePair(rank='species', name='Sulfitobacter sp. EE-36'))"
49,Thermotoga neapolitana (Bacteria),1851000,1851000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Thermotogae'), LineagePair(rank='class', name='Thermotogae'), LineagePair(rank='order', name='Thermotogales'), LineagePair(rank='family', name='Thermotogaceae'), LineagePair(rank='genus', name='Thermotoga'), LineagePair(rank='species', name='Thermotoga neapolitana'))"
50,Dictyoglomus turgidum (Bacteria),1839000,1839000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Dictyoglomi'), LineagePair(rank='class', name='Dictyoglomia'), LineagePair(rank='order', name='Dictyoglomales'), LineagePair(rank='family', name='Dictyoglomaceae'), LineagePair(rank='genus', name='Dictyoglomus'), LineagePair(rank='species', name='Dictyoglomus turgidum'))"
51,Pyrococcus furiosus (Archaea),1837000,1837000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Thermococci'), LineagePair(rank='order', name='Thermococcales'), LineagePair(rank='family', name='Thermococcaceae'), LineagePair(rank='genus', name='Pyrococcus'), LineagePair(rank='species', name='Pyrococcus furiosus'))"
52,Sulfurihydrogenibium sp. YO3AOP1 (Bacteria),1777000,1777000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Aquificae'), LineagePair(rank='class', name='Aquificae'), LineagePair(rank='order', name='Aquificales'), LineagePair(rank='family', name='Hydrogenothermaceae'), LineagePair(rank='genus', name='Sulfurihydrogenibium'), LineagePair(rank='species', name='Sulfurihydrogenibium sp. YO3AOP1'))"
53,Pyrococcus horikoshii (Archaea),1741000,1741000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Thermococci'), LineagePair(rank='order', name='Thermococcales'), LineagePair(rank='family', name='Thermococcaceae'), LineagePair(rank='genus', name='Pyrococcus'), LineagePair(rank='species', name='Pyrococcus horikoshii'))"
54,Methanocaldococcus jannaschii (Archaea),1679000,1679000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanococci'), LineagePair(rank='order', name='Methanococcales'), LineagePair(rank='family', name='Methanocaldococcaceae'), LineagePair(rank='genus', name='Methanocaldococcus'), LineagePair(rank='species', name='Methanocaldococcus jannaschii'))"
55,Thermotoga sp. RQ2 (Bacteria),1672000,1672000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Thermotogae'), LineagePair(rank='class', name='Thermotogae'), LineagePair(rank='order', name='Thermotogales'), LineagePair(rank='family', name='Thermotogaceae'), LineagePair(rank='genus', name='Thermotoga'), LineagePair(rank='species', name='Thermotoga sp. RQ2'))"
56,Methanopyrus kandleri (Archaea),1631000,1631000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name='Methanopyri'), LineagePair(rank='order', name='Methanopyrales'), LineagePair(rank='family', name='Methanopyraceae'), LineagePair(rank='genus', name='Methanopyrus'), LineagePair(rank='species', name='Methanopyrus kandleri'))"
57,Hydrogenobaculum sp. Y04AAS1 (Bacteria),1595000,1595000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Aquificae'), LineagePair(rank='class', name='Aquificae'), LineagePair(rank='order', name='Aquificales'), LineagePair(rank='family', name='Aquificaceae'), LineagePair(rank='genus', name='Hydrogenobaculum'), LineagePair(rank='species', name='Hydrogenobaculum sp. Y04AAS1'))"
58,Aciduliprofundum boonei (Archaea),1477000,1477000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Euryarchaeota'), LineagePair(rank='class', name=''), LineagePair(rank='order', name=''), LineagePair(rank='family', name=''), LineagePair(rank='genus', name='Aciduliprofundum'), LineagePair(rank='species', name='Aciduliprofundum boonei'))"
59,Ignicoccus hospitalis (Archaea),1284000,1284000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Crenarchaeota'), LineagePair(rank='class', name='Thermoprotei'), LineagePair(rank='order', name='Desulfurococcales'), LineagePair(rank='family', name='Desulfurococcaceae'), LineagePair(rank='genus', name='Ignicoccus'), LineagePair(rank='species', name='Ignicoccus hospitalis'))"
60,Sulfurihydrogenibium yellowstonense (Bacteria),1118000,1118000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Aquificae'), LineagePair(rank='class', name='Aquificae'), LineagePair(rank='order', name='Aquificales'), LineagePair(rank='family', name='Hydrogenothermaceae'), LineagePair(rank='genus', name='Sulfurihydrogenibium'), LineagePair(rank='species', name='Sulfurihydrogenibium yellowstonense'))"
61,Streptococcus parasanguinis (Bacteria),773000,474000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Bacilli'), LineagePair(rank='order', name='Lactobacillales'), LineagePair(rank='family', name='Streptococcaceae'), LineagePair(rank='genus', name='Streptococcus'), LineagePair(rank='species', name='Streptococcus parasanguinis'))"
62,Thermotoga petrophila (Bacteria),734000,734000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Thermotogae'), LineagePair(rank='class', name='Thermotogae'), LineagePair(rank='order', name='Thermotogales'), LineagePair(rank='family', name='Thermotogaceae'), LineagePair(rank='genus', name='Thermotoga'), LineagePair(rank='species', name='Thermotoga petrophila'))"
63,Nanoarchaeum equitans (Archaea),431000,431000,"(LineagePair(rank='superkingdom', name='Archaea'), LineagePair(rank='phylum', name='Nanoarchaeota'), LineagePair(rank='class', name=''), LineagePair(rank='order', name='Nanoarchaeales'), LineagePair(rank='family', name='Nanoarchaeaceae'), LineagePair(rank='genus', name='Nanoarchaeum'), LineagePair(rank='species', name='Nanoarchaeum equitans'))"
64,Desulfovibrio vulgaris (Bacteria),345000,345000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Deltaproteobacteria'), LineagePair(rank='order', name='Desulfovibrionales'), LineagePair(rank='family', name='Desulfovibrionaceae'), LineagePair(rank='genus', name='Desulfovibrio'), LineagePair(rank='species', name='Desulfovibrio vulgaris'))"
65,Stenotrophomonas maltophilia (Bacteria),211000,211000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Gammaproteobacteria'), LineagePair(rank='order', name='Xanthomonadales'), LineagePair(rank='family', name='Xanthomonadaceae'), LineagePair(rank='genus', name='Stenotrophomonas'), LineagePair(rank='species', name='Stenotrophomonas maltophilia'))"
66,Synechococcus sp. PCC 7002 x Microcystis aeruginosa TAIHU98 coculture (Bacteria),195000,195000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Cyanobacteria'), LineagePair(rank='class', name=''), LineagePair(rank='order', name='Chroococcales'), LineagePair(rank='family', name=''), LineagePair(rank='genus', name=''), LineagePair(rank='species', name='Synechococcus sp. PCC 7002 x Microcystis aeruginosa TAIHU98 coculture'))"
67,Proteiniclasticum ruminis (Bacteria),137000,137000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Firmicutes'), LineagePair(rank='class', name='Clostridia'), LineagePair(rank='order', name='Clostridiales'), LineagePair(rank='family', name='Clostridiaceae'), LineagePair(rank='genus', name='Proteiniclasticum'), LineagePair(rank='species', name='Proteiniclasticum ruminis'))"
68,Escherichia coli (Bacteria),119000,119000,"(LineagePair(rank='superkingdom', name='Bacteria'), LineagePair(rank='phylum', name='Proteobacteria'), LineagePair(rank='class', name='Gammaproteobacteria'), LineagePair(rank='order', name='Enterobacterales'), LineagePair(rank='family', name='Enterobacteriaceae'), LineagePair(rank='genus', name='Escherichia'), LineagePair(rank='species', name='Escherichia coli'))"
